id,dishid,namedish,description,nameingr,ingr,stepname,stepdish
1,164365,Густой молочно-клубничный коктейль,"Этот коктейль готовлю из замороженной клубники. Если клубника свежая, то добавляю перепелиное яйцо, благодаря этому коктейль получается устойчиво густым.",Ингредиенты для «Густой молочно-клубничный коктейль»:,"['Молоко 250 мл', 'Клубника 200 г', 'Сахар 15 г']",Рецепт «Густой молочно-клубничный коктейль»:,"Не размораживая, ягоду положите в блендер, добавьте молоко и сахар (если ягода свежая, то и перепелиное яйцо) Взбивайте на высокой скорости до полного измельчения ягод. Вылете в стаканы и можно по чуть-чуть пить, так как этот напиток оочень холодный. Кто не любит таковой, подождите и выпейте, когда он немного согреется. Приятного аппетита!"
2,10625,"Салат ""Баклажанчик""","Сытный, овощной салатик, пальчики оближете.","Ингредиенты для «Салат ""Баклажанчик""»:","['Баклажан 3 шт', 'Лук репчатый 2 шт', 'Помидор 2 шт', 'Чеснок 1 зуб.', 'Соль', 'Майонез', 'Перец черный']","Рецепт «Салат ""Баклажанчик""»:","Баклажаны очищаем от кожицы. Нарезаем кружочками. Лук нарезаем кубиками и обжариваем. Баклажаны тоже обжариваем на растительном масле. Даем стечь лишнему жиру. Помидоры нарезаем кубиками, добавляем чеснок, специи. Все смешиваем и заправляем майонезом."
3,167337,Куриные котлеты с картофельным пюре в духовке,"Картофельное пюре и куриные котлеты - вкусная классика в кулинарной книге каждой хозяйки. Сегодня я предлагаю вам рецепт нежнейшего картофельного пюре, пропитанного соком котлет, ароматами специй и вкусом зелени вместе с сыром и куриными котлетами.",Ингредиенты для «Куриные котлеты с картофельным пюре в духовке»:,"['Фарш куриный 800 г', 'Пюре картофельное 1 кг', 'Желток яичный 1 шт', 'Лук репчатый 1 шт', 'Сыр твердый 150 г', 'Молоко 50 мл', 'Масло сливочное 30 г', 'Зелень 0,5 пуч.', 'Приправа 1,5 ч. л.', 'Масло растительное 5 ст. л.']",Рецепт «Куриные котлеты с картофельным пюре в духовке»:,"Шаг 1. Ставим отваривать картофель в чуть подсоленную воду. Затем измельчаем лук, натираем на крупной овощной терке сыр, нарезаем мелко зелень и откладываем в сторону. В это время обжариваем лук и оставляем на сковороде. Шаг 2. Картофель разминаем в пюре, добавляя сливочное масло, молоко, приправы и соль. А затем добавляем зелень, половину порции сыра и вновь перемешиваем. Когда картофельное пюре немного остынет добавляем один желток, перемешиваем. Шаг 3. В фарш добавляем обжаренный лук. Приступаем к сборке. В это время можно ставить духовку прогреваться на 180 градусов. Форму смазываем сливочным или растительным маслом, выдавливаем из кондитерского мешка или плотного пакета небольшие колобки картофельного пюре, можно также наловчиться и отсаживать пюре столовой ложкой. Делаем углубление и выкладываем фарш 1-2 ст. ложки. Отправляем запекаться в духовку на 30 минут. Вынимаем, посыпаем блюдо оставшимся сыром и вновь убираем в духовку до полного расплавления сыра. Блюдо готово! Всем приятного аппетита!"
4,100230,Шоколадные конфеты ручной работы,"Конечно, купить в магазине готовые шоколадные конфеты намного проще, но вкусный домашний шоколад, приготовленный с любовью, никому не позволит остаться равнодушным. Конфеты ручной работы – это очень, очень вкусно, душевно и совсем несложно. А еще это увлекательный досуг для взрослых и детей и оригинальный подарок, который я хочу преподнести всем вам с поздравлениями с наступающими, любимыми всеми праздниками и пожеланиями всего самого - самого светлого и исполнения всех ваших мечтаний!",Ингредиенты для «Шоколадные конфеты ручной работы»:,"['Какао-масло 100 г', 'Какао тертое 200 г', 'Сироп кленовый 100 г', 'Ваниль 0,5 шт']",Рецепт «Шоколадные конфеты ручной работы»:,"Натереть на крупной терке какао-масло. Растопить его на паровой бане, поставив емкость в кастрюлю с начинающей закипать водой таким образом, чтобы донышко емкости с какао-маслом не касалось воды. Огонь убавить до минимального. Температура какао-масла не должна превышать 40 градусов. Когда масло растопится, добавить мякоть половины стручка ванили и перемешать. Добавить какао тертое. Слегка помешивать массу до полного растворения какао, а затем влить сироп агавы (или топинамбура). Если будете использовать мед, он обязательно должен быть высокого качества. Нельзя использовать засахаренный мёд, так как при соединении с какао-массой может пойти зернистость. Хорошо перемешать получившуюся массу и наполнить ей кулинарный мешок для того, чтобы было удобнее заполнять формочки. Распределить массу по формочкам, которые необходимо поставить на жесткую подставку. Можно добавить любые наполнители: лепестки миндаля, орехи, вяленые ягоды, цукаты, положив их сверху и чайной ложкой слегка ""притопив"" в шоколад. Остудить при комнатной температуре и поместить в холодильник. Вот и все. Конфетки готовы. Можно заваривать чай или кофе и лакомиться. Угощайтесь, на здоровье! Вот эти конфетки у меня были с вяленой вишней и лепестками миндаля. А это вариант для детишек. Для вкусных сладостей всегда найдется место, Теперь и повод есть, чтоб их Вам подарить, На стол поставить, сразу съесть — здесь все уместно, Пусть также сладко будет Вам и жить! С наступающими вас всех Новогодними и Рождественскими праздниками!"
5,96257,Рыбно-тыквенный гратен,"Этот рецепт горячей закуски чем то отдаленно напоминает всем известный жюльен. И чем особенно хорош, так это тем, что основной ингредиент может быть абсолютно любой. Сегодня я хочу предложить не совсем обычное сочетание рыбы и тыквы. Но не пугайтесь, все прекрасно сочетается и дополняет друг друга. А тот кто не знает из чего он сделан, никогда не догадается о присутствие тыквы.",Ингредиенты для «Рыбно-тыквенный гратен»:,"['Масло растительное 3 ст. л.', 'Рыба 400 г', 'Тыква 100 г', 'Лук репчатый 1 шт', 'Мука пшеничная Мука', 'Мука 3 ст. л.', 'Молоко 300 мл', 'Сливки 90 мл', 'Масло сливочное 40 г', 'Сыр голландский 75 г', 'Вино белое полусухое 50 мл', 'Соль', 'Перец черный']",Рецепт «Рыбно-тыквенный гратен»:,"Ингредиенты. Лук и тыкву мелко режем. На сковороду наливаем масло и добавляем сливочное. Нагреваем и кладем наши порезанные овощи. Обжариваем до готовности. Добавляем муку и жарим еще примерно 2 мин. Затем снимаем с огня и быстро мешая вливаем молоко. Добавляем вино (если не хотите его использовать, просто увеличите количество молока) и ставим на огонь, все время помешивая до закипания. Вливаем сливки, снова мешая доводим до кипения и снимаем. В соус кладем нашу рыбу, разделанную на не большие кусочки. Перемешать, поперчить и посолить. Раскладываем по формочкам ( примерно 6 шт.) или в одну большую. Уверяю вкус от этого не изменится. Посыпаем с верху тертым сыром. Выпекаем при t=180 примерно 15 мин. Подаем сразу. ПРИЯТНОГО АППЕТИТА!!! Этот рецепт - участник акции ""Готовим вместе - кулинарная неделя"". Обсуждение приготовления на форуме -"
6,139360,"Плов с креветками из риса ""Басмати""",Плов с креветками из риса Basmati. Очень вкусный и полезный обед или ужин.,"Ингредиенты для «Плов с креветками из риса ""Басмати""»:","['Рис 2 стак.', 'Вода 4 стак.', 'Морковь 1 шт', 'Лук репчатый 2 шт', 'Морепродукты 500 г', 'Карри 1 ст. л.', 'Приправа 1 ст. л.', 'Соль  по вкусу', 'Масло подсолнечное  по вкусу']","Рецепт «Плов с креветками из риса ""Басмати""»:","Соль по вкусу. Очищаем и нарезаем лук и морковь. Доводим лук до прозрачного состояния. Добавляем морковь и тушим 5 минут. Добавляем креветки. Тушим не боле 2 минут. Промываем рис. Равномерно выкладываем в кастрюлю или сковороду. Заливаем водой. Закрываем крышку и на среднем огне тушим 15 минут. После перемешиваем и добавляем соль и приправы. Томатная паста по вкусу. Вуаля плов готов! Хотела бы добавить, очень гармонично сочетается с пловом болгарский перец и помидор. А куркума и шафран добавил бы пряную нотку в блюдо."
7,96774,Молочное мороженое,Рецепт вкусного мороженого из молока. Подробнее в видео ниже,Ингредиенты для «Молочное мороженое»:,"['Молоко 450 г', 'Желток яичный 3 шт', 'Сахар 90 г']",Рецепт «Молочное мороженое»:,
8,23092,Картошечка с грибами,"Не знаю почему , но напоминает лето!",Ингредиенты для «Картошечка с грибами»:,"['Картофель', 'Сало', 'Грибы', 'Зелень', 'Лук репчатый', 'Чеснок', 'Соль', 'Перец черный', 'Масло растительное']",Рецепт «Картошечка с грибами»:,"Грибы (можно брать любые) обжарить на растительном масле с луком и чесноком,посолить,поперчить,на другой сковороде обжарить тонко нарезаное сало,(по желанию можно еще добавить лук обжариваться),добавить почищеную и порезаную картошку, добавить грибы, и обжарить до готовности,посолить,поперчить,добавить порезаную зелень. Приятного аппетита!"
9,23115,"Индийские лепешки ""Чапати""","Лепeшки ""Чапати"" невероятно просты в приготовлении: всего-то мука, соль и вода, но попробовав их хотя бы раз, невозможно поверить, что такой великолепный вкус можно получить так просто. Ко всему прочему, ""Чапати"" пекутся на совершенно сухой сковороде, без масла, а весь процесс приготовления занимает считанные минуты. 
Счастлив представить вам очередное чудо индийской кухни - лепeшки ""Чапати""!","Ингредиенты для «Индийские лепешки ""Чапати""»:","['Мука пшеничная Мука', 'Мука 1 стак.', 'Вода 1/2 стак.', 'Соль 1/2 ч. л.', 'Масло сливочное']","Рецепт «Индийские лепешки ""Чапати""»:","Приготовьте необходимые нам ингредиенты - муку, соль (можно не добавлять), воду (или сыворотку) и сливочное масло для смазывания лепёшек. Заместите густое тесто. Думайте о чём-нибудь хорошем, когда месите тесто, или читайте вашу любимую молитву - удивительно, но это очень сильно отражается на вкусе лепёшек. Накройте тесто полотенцем и оставьте его на 30 минут. За это время тесто как бы дозреет. Смочите руки любым растительным маслом, обваляйте тесто в муке и ещё раз хорошенько его замесите. Разделите готовое тесто на равные кусочки, размером с небольшое яйцо, и скатайте их в шарики. Расплющите каждый шарик в лепёшку и обваляйте его в муке. Раскатайте тонкую лепёшку И жарьте (подсушивайте) на сухой (без масла) сковороде до светло-коричневых пятнышек. Лепёшка должна пузыриться и раздуваться. Переверните лепёшку на другую сторону и жарьте до готовности. Обычно на приготовление одной лепёшки уходит 2-4 минуты. Смажьте готовые лепёшки сливочным маслом и подавайте горячими. Будьте счастливы и здоровы! Приятного аппетита! Этот рецепт - участник акции ""Готовим вместе - кулинарная неделя"". Обсуждение приготовления на форуме:"
10,156974,Рыба «Красное и белое»,"И опять я. И снова с рыбой )
Ну никуда я без неё! А этот рецепт разнообразит наш рацион. Готовим однозначно! Все как я люблю: быстро и просто. А главное вкусно!",Ингредиенты для «Рыба «Красное и белое»»:,"['Горбуша 450 г', 'Зубатка 350 г', 'Перец болгарский 1 шт', 'Лук репчатый 2 шт', 'Мак 3 щепот.', 'Специи 1 ч. л.', 'Соевый соус 4 ст. л.', 'Масло растительное 2 ст. л.', 'Чеснок 1 зуб.']",Рецепт «Рыба «Красное и белое»»:,"Можно использовать любую рыбу на Ваш вкус. Сегодня у меня филе горбушы и зубатки. Рыбу филируем. Поскольку зубатка очень нежная рыба, я ее не перемалывала, она у меня тонкими полосочками. Фарш солим, перчим. Соус, масло и порубленный чеснок смешиваем. Филе зубатки можно замариновать в полученном соусе. Овощи нарезать кольцами 2 см шириной. Перец внутри очистить от белых волокон. Лук выдавить серединки, оставив 3-4 кольца целыми. На силиконовый коврик выкладываем кольца овощей, и наполняем начинкой. Тут можно схитрить- в крупные кольца перца я ставила маленькие колечки лука, и заполняла фарш в них (например горбушу внутрь колечка, зубатку вокруг). Запекаем в разогретой до 200 гр. духовке 20 минут. Достаём, поливаем соусом. Посыпаем маком, кунжутом, льняным семенем (если используете). Уменьшаем температуру до 180. Запекаем ещё 10 минут. После чего выключаем духовку, оставляем на 10 минут. Приятного аппетита!!!"
